model,corruption_type,train_fraction,test_fraction,class_name,precision,recall,fpr,fnr
resnet18,jpeg_compression,0.25,0.0,notumor,0.9345794392523364,1.0,0.023333333333333334,0.0
resnet18,jpeg_compression,0.25,0.0,pituitary,0.9950124688279302,0.9975,0.0016666666666666668,0.0025
resnet18,jpeg_compression,0.25,0.1,glioma,0.990909090909091,0.8175,0.0025,0.1825
resnet18,jpeg_compression,0.25,0.1,meningioma,0.891156462585034,0.9825,0.04,0.0175
resnet18,jpeg_compression,0.25,0.1,notumor,0.936768149882904,1.0,0.0225,0.0
resnet18,jpeg_compression,0.25,0.1,pituitary,0.9950248756218906,1.0,0.0016666666666666668,0.0
resnet18,jpeg_compression,0.25,0.25,glioma,0.9909365558912386,0.82,0.0025,0.18
resnet18,jpeg_compression,0.25,0.25,meningioma,0.891156462585034,0.9825,0.04,0.0175
resnet18,jpeg_compression,0.25,0.25,notumor,0.936768149882904,1.0,0.0225,0.0
resnet18,jpeg_compression,0.25,0.25,pituitary,0.9950124688279302,0.9975,0.0016666666666666668,0.0025
resnet18,jpeg_compression,0.25,0.5,glioma,0.9909638554216867,0.8225,0.0025,0.1775
resnet18,jpeg_compression,0.25,0.5,meningioma,0.8931818181818182,0.9825,0.03916666666666667,0.0175
resnet18,jpeg_compression,0.25,0.5,notumor,0.936768149882904,1.0,0.0225,0.0
resnet18,jpeg_compression,0.25,0.5,pituitary,0.9950124688279302,0.9975,0.0016666666666666668,0.0025
resnet18,jpeg_compression,0.25,0.75,glioma,0.9880597014925373,0.8275,0.0033333333333333335,0.1725
resnet18,jpeg_compression,0.25,0.75,meningioma,0.8926940639269406,0.9775,0.03916666666666667,0.0225
resnet18,jpeg_compression,0.25,0.75,notumor,0.9389671361502347,1.0,0.021666666666666667,0.0
resnet18,jpeg_compression,0.25,0.75,pituitary,0.9950124688279302,0.9975,0.0016666666666666668,0.0025
resnet18,jpeg_compression,0.25,1.0,glioma,0.9880239520958084,0.825,0.0033333333333333335,0.175
resnet18,jpeg_compression,0.25,1.0,meningioma,0.8906605922551253,0.9775,0.04,0.0225
resnet18,jpeg_compression,0.25,1.0,notumor,0.9389671361502347,1.0,0.021666666666666667,0.0
resnet18,jpeg_compression,0.25,1.0,pituitary,0.9950124688279302,0.9975,0.0016666666666666668,0.0025
resnet18,beam_hardening,0.0,0.0,glioma,0.996969696969697,0.8225,0.0008333333333333334,0.1775
resnet18,beam_hardening,0.0,0.0,meningioma,0.9055299539170507,0.9825,0.034166666666666665,0.0175
resnet18,beam_hardening,0.0,0.0,notumor,0.9237875288683602,1.0,0.0275,0.0
resnet18,beam_hardening,0.0,0.0,pituitary,0.9900744416873449,0.9975,0.0033333333333333335,0.0025
resnet18,beam_hardening,0.0,0.1,glioma,0.9969604863221885,0.82,0.0008333333333333334,0.18
resnet18,beam_hardening,0.0,0.1,meningioma,0.9095127610208816,0.98,0.0325,0.02
resnet18,beam_hardening,0.0,0.1,notumor,0.9153318077803204,1.0,0.030833333333333334,0.0
resnet18,beam_hardening,0.0,0.1,pituitary,0.9900744416873449,0.9975,0.0033333333333333335,0.0025
resnet18,beam_hardening,0.0,0.25,glioma,0.9969418960244648,0.815,0.0008333333333333334,0.185
resnet18,beam_hardening,0.0,0.25,meningioma,0.9135514018691588,0.9775,0.030833333333333334,0.0225
resnet18,beam_hardening,0.0,0.25,notumor,0.9049773755656109,1.0,0.035,0.0
resnet18,beam_hardening,0.0,0.25,pituitary,0.9900744416873449,0.9975,0.0033333333333333335,0.0025
resnet18,beam_hardening,0.0,0.5,glioma,1.0,0.805,0.0,0.195
resnet18,beam_hardening,0.0,0.5,meningioma,0.9071925754060325,0.9775,0.03333333333333333,0.0225
resnet18,beam_hardening,0.0,0.5,notumor,0.9029345372460497,1.0,0.035833333333333335,0.0
resnet18,beam_hardening,0.0,0.5,pituitary,0.9876237623762376,0.9975,0.004166666666666667,0.0025
resnet18,beam_hardening,0.0,0.75,glioma,0.996875,0.7975,0.0008333333333333334,0.2025
resnet18,beam_hardening,0.0,0.75,meningioma,0.9046511627906977,0.9725,0.034166666666666665,0.0275
resnet18,beam_hardening,0.0,0.75,notumor,0.8928571428571429,1.0,0.04,0.0
resnet18,beam_hardening,0.0,0.75,pituitary,0.9925373134328358,0.9975,0.0025,0.0025
resnet18,beam_hardening,0.0,1.0,glioma,0.9968944099378882,0.8025,0.0008333333333333334,0.1975
resnet18,beam_hardening,0.0,1.0,meningioma,0.9088785046728972,0.9725,0.0325,0.0275
resnet18,beam_hardening,0.0,1.0,notumor,0.8968609865470852,1.0,0.03833333333333333,0.0
resnet18,beam_hardening,0.0,1.0,pituitary,0.9900990099009901,1.0,0.0033333333333333335,0.0
resnet18,beam_hardening,0.1,0.0,glioma,0.9939759036144579,0.825,0.0016666666666666668,0.175
resnet18,beam_hardening,0.1,0.0,meningioma,0.8893905191873589,0.985,0.04083333333333333,0.015
resnet18,beam_hardening,0.1,0.0,notumor,0.9456264775413712,1.0,0.019166666666666665,0.0
resnet18,beam_hardening,0.1,0.0,pituitary,0.9925373134328358,0.9975,0.0025,0.0025
resnet18,beam_hardening,0.1,0.1,glioma,0.9939759036144579,0.825,0.0016666666666666668,0.175
resnet18,beam_hardening,0.1,0.1,meningioma,0.8893905191873589,0.985,0.04083333333333333,0.015
resnet18,beam_hardening,0.1,0.1,notumor,0.9456264775413712,1.0,0.019166666666666665,0.0
resnet18,beam_hardening,0.1,0.1,pituitary,0.9925373134328358,0.9975,0.0025,0.0025
resnet18,beam_hardening,0.1,0.25,glioma,0.9939759036144579,0.825,0.0016666666666666668,0.175
resnet18,beam_hardening,0.1,0.25,meningioma,0.891156462585034,0.9825,0.04,0.0175
resnet18,beam_hardening,0.1,0.25,notumor,0.9411764705882353,1.0,0.020833333333333332,0.0
resnet18,beam_hardening,0.1,0.25,pituitary,0.9925373134328358,0.9975,0.0025,0.0025
resnet18,beam_hardening,0.1,0.5,glioma,0.9939577039274925,0.8225,0.0016666666666666668,0.1775
resnet18,beam_hardening,0.1,0.5,meningioma,0.8949771689497716,0.98,0.03833333333333333,0.02
resnet18,beam_hardening,0.1,0.5,notumor,0.9324009324009324,1.0,0.024166666666666666,0.0
resnet18,beam_hardening,0.1,0.5,pituitary,0.9925373134328358,0.9975,0.0025,0.0025
resnet18,beam_hardening,0.1,0.75,glioma,0.993993993993994,0.8275,0.0016666666666666668,0.1725
resnet18,beam_hardening,0.1,0.75,meningioma,0.9048723897911833,0.975,0.034166666666666665,0.025
resnet18,beam_hardening,0.1,0.75,notumor,0.9237875288683602,1.0,0.0275,0.0
resnet18,beam_hardening,0.1,0.75,pituitary,0.9900744416873449,0.9975,0.0033333333333333335,0.0025
resnet18,beam_hardening,0.1,1.0,glioma,0.9969418960244648,0.815,0.0008333333333333334,0.185
